Fecha;Cartera;Valor;Moneda;TIKR;Operación;Unidades;Precio unitario;Comisiones;Precio unitario (€);Comisiones (€);Retenciones (€)
21/08/2017;Degiro;Medical Properties Trust;USD;MPW;BUY;35;12,54;0,73;10,64;0,62;
22/08/2017;Degiro;Medical Properties Trust;USD;MPW;BUY;44;12,80;0,76;10,88;0,65;
13/10/2017;Degiro;Medical Properties Trust;USD;MPW;DIV;1;18,96;0,00;16,03;0,00;2,40
13/10/2017;Degiro;Medical Properties Trust;USD;MPW;SELL;79;13,16;0,91;11,13;0,77;
13/10/2017;Degiro;Omega Heathcare Inversors;USD;OHI;BUY;33;31,65;0,71;26,77;0,60;
13/10/2017;Degiro;Omega Heathcare Inversors;USD;OHI;BUY;8;31,69;0,63;26,80;0,53;
16/11/2017;Degiro;Omega Heathcare Inversors;USD;OHI;DIV;1;26,65;0,00;22,54;0,00;3,38
28/01/2018;Crypto;Ripple (KRAKEN);EUR;KRAKEN:XRPEUR;BUY;175,745;1,13699;0,00;1,13699;0,00;
24/01/2018;Crypto;Ethereum (GDAX);EUR;GDAX:ETHEUR;BUY;0,11917779;836,99;0,25;836,99;0,25;
24/01/2018;Crypto;Bitcoin (GDAX);EUR;GDAX:BTCEUR;BUY;0,0107956;9.239,90;0,25;9.239,90;0,25;
15/02/2018;Degiro;Omega Heathcare Inversors;USD;OHI;DIV;1;27,06;0,00;21,89;0,00;3,28
10/04/2018;Degiro;Omega Heathcare Inversors;USD;OHI;SELL;27;26,61;0,11;21,53;0,09;
10/04/2018;Degiro;Omega Heathcare Inversors;USD;OHI;SELL;14;26,61;0,68;21,53;0,55;
10/04/2018;Degiro;Medical Properties Trust;USD;MPW;BUY;48;12,84;0,81;10,41;0,66;
10/04/2018;Degiro;AT&T;USD;T;BUY;18;35,36;0,69;28,67;0,56;
10/04/2018;Degiro;AT&T;USD;T;SELL;1;35,34;0,62;28,65;0,50;
13/07/2018;Degiro;Medical Properties Trust;USD;MPW;DIV;1;12,00;0,00;10,27;0,00;1,54
1/08/2018;Degiro;AT&T;USD;T;DIV;1;8,50;0,00;7,29;0,00;1,09
12/10/2018;Degiro;Medical Properties Trust;USD;MPW;DIV;1;12,00;0,00;10,38;0,00;1,56
1/11/2018;Degiro;AT&T;USD;T;DIV;1;8,50;0,00;7,45;0,00;1,12
6/11/2018;Degiro;W.P. Carey;USD;WPC;BUY;4;64,73;0,58;56,64;0,51;
6/11/2018;Degiro;TransMontaigne Partners L.P.;USD;TLP;BUY;6;37,66;0,59;32,95;0,52;
6/11/2018;Degiro;Enterprise Products Partners L.P;USD;EPD;BUY;8;27,07;0,60;23,69;0,53;
6/11/2018;Degiro;Holly Energy Partners;USD;HEP;BUY;8;29,02;0,60;25,39;0,53;
6/11/2018;Degiro;Main Street Capital Corp.;USD;MAIN;BUY;7;38,42;0,59;33,62;0,52;
6/11/2018;Degiro;Holly Energy Partners;USD;HEP;SELL;1;29,44;0,57;25,76;0,50;
17/12/2018;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,37;0,00;1,19;0,00;0,17
31/12/2018;Degiro;AT&T;USD;T;BUY;10;28,30;0,61;24,74;0,53;
31/12/2018;Degiro;Altria Group Inc;USD;MO;BUY;6;48,88;0,60;42,74;0,52;
31/12/2018;Degiro;Magellan Midstream;USD;MMP;BUY;5;56,97;0,60;49,82;0,52;
31/12/2018;Degiro;IBM;USD;IBM;BUY;2;113,65;0,58;99,34;0,51;
31/12/2018;Degiro;Magellan Midstream;USD;MMP;BUY;1;57,03;0,57;49,85;0,50;
11/1/2019;Degiro;Medical Properties Trust;USD;MPW;DIV;1;12,00;0,00;10,42;0,00;1,56
28/12/2018;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,93;0,00;1,68;0,00;0,25
16/01/2019;Degiro;W.P. Carey;USD;WPC;DIV;1;4,12;0,00;3,61;0,00;0,54
16/01/2019;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,37;0,00;1,20;0,00;0,18
1/2/2019;Degiro;AT&T;USD;T;DIV;1;13,77;0,00;12,02;0,00;1,81
9/2/2019;Degiro;TransMontaigne Partners L.P.;USD;TLP;DIV;1;4,83;0,00;4,27;0,00;0,64
11/2/2019;Degiro;Enterprise Products Partners L.P;USD;EPD;DIV;1;3,48;0,00;3,09;0,00;0,46
15/2/2019;Degiro;Holly Energy Partners;USD;HEP;DIV;1;4,67;0,00;4,13;0,00;0,62
14/2/2019;Degiro;Magellan Midstream;USD;MMP;DIV;1;5,99;0,00;5,30;0,00;0,80
16/2/2019;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,37;0,00;1,21;0,00;0,18
27/2/2019;Degiro;TransMontaigne Partners L.P.;USD;TLP;SELL;6;41,00;0,76;36,06;0,67;0,00
11/3/2019;Degiro;IBM;USD;IBM;DIV;1;3,14;0,00;2,79;0,00;0,42
16/3/2019;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,37;0,00;1,21;0,00;0,18
8/4/2019;Degiro;Tanger Factory Outlet Centers;USD;SKT;BUY;14;20,51;0,62;18,21;0,55;0,00
12/4/2019;Degiro;Medical Properties Trust;USD;MPW;DIV;1;12,00;0,00;10,66;0,00;1,60
15/4/2019;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,40;0,00;1,24;0,00;0,19
15/4/2019;Degiro;W.P. Carey;USD;WPC;DIV;1;4,13;0,00;3,66;0,00;0,55
30/4/2019;Degiro;Altria Group Inc;USD;MO;DIV;1;4,80;0,00;4,28;0,00;0,64
1/5/2019;Degiro;AT&T;USD;T;DIV;1;13,77;0,00;12,33;0,00;1,85
13/5/2019;Degiro;Enterprise Products Partners L.P;USD;EPD;DIV;1;3,50;0,00;3,12;0,00;1,16
14/5/2019;Degiro;Holly Energy Partners;USD;HEP;DIV;1;4,69;0,00;4,18;0,00;1,55
16/5/2019;Degiro;Tanger Factory Outlet Centers;USD;SKT;DIV;1;4,97;0,00;4,43;0,00;0,67
16/5/2019;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,40;0,00;1,25;0,00;0,19
16/5/2019;Degiro;Magellan Midstream;USD;MMP;DIV;1;6,03;0,00;5,39;0,00;1,99
10/6/2019;Degiro;IBM;USD;IBM;DIV;1;3,24;0,00;2,86;0,00;0,43
17/6/2019;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,40;0,00;1,25;0,00;0,19
25/6/2019;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,75;0,00;1,54;0,00;0,23
10/7/2019;Degiro;Altria Group Inc;USD;MO;DIV;1;4,80;0,00;4,26;0,00;0,64
12/7/2019;Degiro;Medical Properties Trust;USD;MPW;DIV;1;12,00;0,00;10,65;0,00;1,60
16/7/2019;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,28;0,00;0,19
16/7/2019;Degiro;W.P. Carey;USD;WPC;DIV;1;4,14;0,00;3,69;0,00;0,55
1/8/2019;Degiro;AT&T;USD;T;DIV;1;13,77;0,00;12,41;0,00;1,86
12/8/2019;Acc. Empleado;Telefónica SA;EUR;BME:TEF;BUY;23,9846;6,25;0,00;6,25;0,00;0,00
14/8/2019;Degiro;Holly Energy Partners;USD;HEP;DIV;1;4,71;0,00;4,21;0,00;1,55
14/8/2019;Degiro;Enterprise Products Partners L.P;USD;EPD;DIV;1;3,52;0,00;3,16;0,00;1,17
14/8/2019;Degiro;Magellan Midstream;USD;MMP;DIV;1;6,08;0,00;5,45;0,00;2,02
16/8/2019;Degiro;Tanger Factory Outlet Centers;USD;SKT;DIV;1;4,97;0,00;4,47;0,00;0,67
16/8/2019;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,30;0,00;0,20
31/8/2019;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;3.000,00;0,00;3.000,00;0,00;0,00
31/8/2019;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;3,68;0,00;3,68;0,00;0,00
31/8/2019;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;3,68;0,00;3,68;0,00;0,00
10/9/2019;Degiro;IBM;USD;IBM;DIV;1;3,24;0,00;2,93;0,00;0,44
11/9/2019;Acc. Empleado;Telefónica SA;EUR;BME:TEF;BUY;22,4181;6,69;0,00;6,69;0,00;0,00
17/9/2019;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,30;0,00;0,20
30/9/2019;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;21,81;0,00;21,81;0,00;0,00
30/9/2019;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;21,81;0,00;21,81;0,00;0,00
8/10/2019;Degiro;AbbVie;USD;ABBV;BUY;1;73,72;0,55;67,23;0,50;0,00
10/10/2019;Degiro;Altria Group Inc;USD;MO;DIV;1;5,04;0,00;4,58;0,00;0,69
11/10/2019;Degiro;Medical Properties Trust;USD;MPW;DIV;1;12,48;0,00;11,33;0,00;1,70
11/10/2019;Acc. Empleado;Telefónica SA;EUR;BME:TEF;BUY;21,30984;7,04;0,00;7,04;0,00;0,00
16/10/2019;Degiro;W.P. Carey;USD;WPC;DIV;1;4,14;0,00;3,74;0,00;0,56
16/10/2019;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,30;0,00;0,20
31/10/2019;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;45,52;0,00;45,52;0,00;0,00
31/10/2019;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;45,52;0,00;45,52;0,00;0,00
11/11/2019;Acc. Empleado;Telefónica SA;EUR;BME:TEF;BUY;21,72338;6,91;0,00;6,91;0,00;0,00
12/11/2019;Degiro;Meredith;USD;MDP;BUY;6;36,20;0,57;32,87;0,52;0,00
12/11/2019;Degiro;Occidental Petroleoum;USD;OXY;BUY;6;38,18;0,57;34,67;0,52;0,00
12/11/2019;Degiro;Preferred Apt. Communities;USD;APTS;BUY;17;13,06;0,57;11,86;0,52;0,00
12/11/2019;Degiro;Simon Property;USD;SPG;BUY;2;154,75;0,57;140,53;0,52;0,00
12/11/2019;Degiro;Energy Transfer;USD;ET;BUY;18;11,80;0,57;10,71;0,52;0,00
1/11/2019;Degiro;AT&T;USD;T;DIV;1;13,77;0,00;12,32;0,00;1,85
13/11/2019;Degiro;Holly Energy Partners;USD;HEP;DIV;1;4,71;0,00;4,27;0,00;1,58
13/11/2019;Degiro;Enterprise Products Partners L.P;USD;EPD;DIV;1;3,54;0,00;3,21;0,00;1,19
15/11/2019;Degiro;Magellan Midstream;USD;MMP;DIV;1;6,12;0,00;5,53;0,00;2,04
15/11/2019;Degiro;AbbVie;USD;ABBV;DIV;1;1,07;0,00;0,97;0,00;0,14
15/11/2019;Degiro;Tanger Factory Outlet Centers;USD;SKT;DIV;1;4,97;0,00;4,49;0,00;0,68
18/11/2019;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,30;0,00;0,20
29/11/2019;Degiro;Simon Property;USD;SPG;DIV;1;4,20;0,00;3,80;0,00;0,57
30/11/2019;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;500,00;0,00;500,00;0,00;0,00
30/11/2019;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;27,42;0,00;27,42;0,00;0,00
30/11/2019;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;27,42;0,00;27,42;0,00;0,00
10/12/2019;Degiro;IBM;USD;IBM;DIV;1;3,24;0,00;2,91;0,00;0,44
11/12/2019;Acc. Empleado;Telefónica SA;EUR;BME:TEF;BUY;22,18606;6,76;0,00;6,76;0,00;0,00
12/12/2019;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,29;0,00;0,20
14/12/2019;Degiro;Meredith;USD;MDP;DIV;1;3,45;0,00;3,10;0,00;0,47
27/12/2019;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,68;0,00;1,49;0,00;0,22
31/12/2019;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;26,02;0,00;26,02;0,00;0,00
31/12/2019;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;26,02;0,00;26,02;0,00;0,00
03/01/2020;Acc. Empleado;Telefónica SA;EUR;BME:TEF;DIV;1;22,32;0,00;22,32;0,00;4,24
03/01/2020;Acc. Empleado;Telefónica SA;EUR;BME:TEF;BUY;2,7951;6,36;0,31;6,36;0,31;0,00
10/01/2020;Degiro;Medical Properties Trust;USD;MPW;DIV;1;12,48;0,00;11,22;0,00;1,68
10/1/2020;Degiro;Altria Group Inc;USD;MO;DIV;1;5,04;0,00;4,53;0,00;0,68
22/1/2020;Degiro;National Health Investement;USD;NHI;BUY;2;85,19;0,55;76,81;0,50;0,00
22/1/2020;Degiro;Dominion Energy;USD;D;BUY;2;83,89;0,57;75,64;0,51;0,00
22/1/2020;Degiro;Iron Mountain;USD;IRM;BUY;6;31,79;0,58;28,66;0,52;0,00
22/1/2020;Degiro;Iron Mountain;USD;IRM;BUY;1;31,78;0,55;28,65;0,50;0,00
16/01/2020;Degiro;W.P. Carey;USD;WPC;DIV;1;4,15;0,00;3,72;0,00;0,56
15/01/2020;Degiro;Occidental Petroleoum;USD;OXY;DIV;1;4,74;0,00;4,25;0,00;0,64
16/01/2020;Degiro;Preferred Apt. Communities;USD;APTS;DIV;1;4,46;0,00;4,00;0,00;0,60
16/01/2020;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,29;0,00;0,20
13/01/2020;Acc. Empleado;Telefónica SA;EUR;BME:TEF;BUY;24,60226;6,10;0,00;6,10;0,00;0,00
31/1/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;27,71;0,00;27,71;0,00;0,00
31/1/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;27,71;0,00;27,71;0,00;0,00
29/2/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;29,17;0,00;29,17;0,00;0,00
29/2/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;29,17;0,00;29,17;0,00;0,00
11/2/2020;Acc. Empleado;Telefónica SA;EUR;BME:TEF;BUY;24,31118;6,17;0,00;6,17;0,00;0,00
3/2/2020;Degiro;AT&T;USD;T;DIV;1;14,04;0,00;12,68;0,00;2,26
13/2/2020;Degiro;Enterprise Products Partners L.P;USD;EPD;DIV;1;3,56;0,00;3,28;0,00;1,22
14/2/2020;Degiro;Holly Energy Partners;USD;HEP;DIV;1;4,71;0,00;4,34;0,00;1,60
14/2/2020;Degiro;Tanger Factory Outlet Centers;USD;SKT;DIV;1;4,97;0,00;4,58;0,00;0,69
14/2/2020;Degiro;AbbVie;USD;ABBV;DIV;1;1,18;0,00;1,09;0,00;0,17
